,AcresBurned,Active,ArchiveYear,CanonicalUrl,Counties,CountyIds,Extinguished,Latitude,Location,Longitude,Name,Started,country,country_code,postcode
439,8110.0,False,2016,/incidents/2016/8/7/pilot-fire/,San Bernardino,36,2016-08-16,34.28771,"Pilot Rock & Hwy 138, southeast of Hesperia",-117.27338,Pilot Fire,2016-08-07,United States,us,92325
440,7609.0,False,2016,/incidents/2016/6/19/border-fire/,San Diego,37,2016-06-30,32.60729,off Highway 188 and Highway 94 near Tecate,-116.63028,Border Fire,2016-06-19,United States,us,91980
441,7474.0,False,2016,/incidents/2016/6/15/sherpa-fire/,Santa Barbara,42,2016-07-12,34.775999999999996,west of Goleta,-119.64299999999999,Sherpa Fire,2016-06-15,United States,us,
442,7050.0,False,2016,/incidents/2016/8/9/mineral-fire/,Fresno,10,2016-08-18,36.099740000000004,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",-120.51057,Mineral Fire,2016-08-09,United States,us,
443,5731.0,False,2016,/incidents/2016/8/2/cold-fire/,Yolo,57,2016-08-12,38.52513,"off of Highway 128 west of Pleasants Valley Road, west of Winters",-122.06788,Cold Fire,2016-08-02,United States,us,
444,5646.0,False,2016,/incidents/2016/6/28/trailhead-fire/,El Dorado,"9,31",2016-07-18,38.96741,along the  Middle Fork of the American River near Todd Valley,-120.9375,Trailhead Fire,2016-06-28,United States,us,
445,5646.0,False,2016,/incidents/2016/6/28/trailhead-fire/,Placer,"9,31",2016-07-18,38.96741,along the  Middle Fork of the American River near Todd Valley,-120.9375,Trailhead Fire,2016-06-28,United States,us,
446,5443.0,False,2016,/incidents/2016/9/17/owens-river-fire/,Inyo,14,2016-09-18,37.75985,"Clark Canyon, north of Mammoth Lakes, east of Hwy 395",-118.95308999999999,Owens River Fire,2016-09-17,United States,us,
447,5399.0,False,2016,/incidents/2016/6/20/san-gabriel-complex-formerly-fish-reservoir-fires/,Los Angeles,19,2018-04-23,0.0,south of Azusa,0.0,San Gabriel Complex (Formerly Fish & Reservoir Fires),2016-06-20,,,
448,4824.0,False,2016,/incidents/2016/11/14/marek-fire/,Los Angeles,19,2016-11-14,34.31,Lake View Terrace,-118.335,Marek Fire,2016-11-14,United States,us,
449,4474.0,False,2016,/incidents/2016/9/26/loma-fire/,Santa Clara,43,2017-09-19,37.106320000000004,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,-121.85318000000001,Loma Fire,2016-09-26,United States,us,
450,4347.0,False,2016,/incidents/2016/10/29/meadow-fire/,Tulare,54,2016-12-19,35.984,	East of Trail of 100 Giants between Lloyd Meadow Road and Western Divide Highway.,-118.551,Meadow Fire,2016-10-29,United States,us,
451,3929.0,False,2016,/incidents/2016/8/13/clayton-fire/,Lake,17,2016-08-26,38.89741,off Hwy 29 and Clayton Creek south of Lower Lake,-122.60663999999998,Clayton Fire,2016-08-13,United States,us,95457
452,3876.0,False,2016,/incidents/2016/5/22/metz-fire/,Monterey,27,2016-05-25,36.38123,"Metz Rd & Blue Jay Ln, southeast of Soledad",-121.20058999999999,Metz Fire,2016-05-22,United States,us,
453,3712.0,False,2016,/incidents/2016/5/18/roberts-fire/,San Luis Obispo,40,2016-05-20,0.0,10 miles northwest of Paso Robles on Camp Roberts Military Base,0.0,Roberts Fire,2016-05-18,,,
454,2944.0,False,2016,/incidents/2016/7/1/curry-fire/,Fresno,10,2016-07-05,36.0749,"Curry Mountain, 7 miles SW of Coalinga",-120.452041,Curry Fire,2016-07-01,United States,us,
455,2860.0,False,2016,/incidents/2016/6/7/pony-fire/,Siskiyou,47,2016-11-08,41.623000000000005,15 miles SW of Happy Camp (Siskiyou County),-123.557,Pony Fire,2016-06-07,United States,us,
456,2819.0,False,2016,/incidents/2016/8/4/clark-fire/,Mono,26,2016-08-07,0.0,"on Bald Mountain, northeast of Mammoth",0.0,Clark Fire,2016-08-04,,,
457,2652.0,False,2016,/incidents/2016/9/17/soup-complex/,Modoc,25,2016-10-13,41.2649,"Soup Springs, 12 miles east of Likely",-120.3178,Soup Complex,2016-09-17,United States,us,
458,2575.0,False,2016,/incidents/2016/9/11/willard-fire/,Lassen,18,2016-09-22,40.3915,"off of Willard Creek Road, west of Susanville",-120.7845,Willard Fire,2016-09-11,United States,us,
459,2520.0,False,2016,/incidents/2016/6/4/coleman-fire/,Monterey,27,2016-06-20,36.01542,off Mission Creek Rd and Milpitas Rd north of Fort Hunter Liggett,-121.25028999999999,Coleman Fire,2016-06-04,United States,us,93928
460,2304.0,False,2016,/incidents/2016/6/30/pine-fire/,Ventura,56,2016-06-30,34.701,"Near Haddock Campground, 3 miles west of the Pine Mtn Lodge, above Middle Sespe.",-119.14399999999999,Pine Fire,2016-06-30,United States,us,
461,2241.0,False,2016,/incidents/2016/7/30/goose-fire/,Fresno,10,2016-08-09,37.01591,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",-119.50506999999999,Goose Fire,2016-07-30,United States,us,93602
462,2100.0,False,2016,/incidents/2016/10/11/sacata-fire/,Fresno,10,2016-10-20,36.94536,"near Sacata Ridge, located above Pine Flat",-119.25958999999999,Sacata Fire,2016-10-11,United States,us,
463,1785.0,False,2016,/incidents/2016/7/1/deer-fire/,Kern,15,2016-07-08,35.20993,"Hwy 223 & Deertrail Rd., east of Arvin",-118.72272,Deer Fire,2016-07-01,United States,us,
464,1547.0,False,2016,/incidents/2016/9/25/sawmill-fire/,Sonoma,49,2016-09-29,38.80017,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",-122.82895,Sawmill Fire,2016-09-25,United States,us,95425
465,1470.0,False,2016,/incidents/2016/8/30/bogart-fire/,Riverside,33,2016-09-02,0.0,"Off Winesap Avenue & International Park Road, north of Beaumont, near Cherry Valley",0.0,Bogart Fire,2016-08-30,,,
466,1246.0,False,2016,/incidents/2016/6/25/dinosaur-fire/,Merced,24,2016-06-26,37.07147,"Off Hwy152 at Dinosaur Point, westside of San Luis Reservoir ",-121.20155,Dinosaur Fire,2016-06-25,United States,us,
467,1245.0,False,2016,/incidents/2016/7/21/roblar-fire/,San Diego,37,2016-07-30,33.393,Roblar Rd and Case Springs (Camp Pendleton),-117.35093,Roblar Fire,2016-07-21,United States,us,
468,1109.0,False,2016,/incidents/2016/7/9/sage-fire/,Los Angeles,19,2016-07-16,34.36763,"off of Calgrove Blvd, southwest of Santa Clarita",-118.57245,Sage Fire,2016-07-09,United States,us,91381
469,1080.0,False,2016,/incidents/2016/9/26/marshes-fire/,Tuolumne,55,2016-10-04,37.79635,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,-120.32484,Marshes Fire,2016-09-26,United States,us,
470,850.0,False,2016,/incidents/2016/9/5/saddle-fire/,Butte,4,2016-09-12,39.6871,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",-121.571,Saddle Fire,2016-09-05,United States,us,
471,710.0,False,2016,/incidents/2016/8/24/grade-fire/,Siskiyou,47,2016-08-30,41.7813,"off Hwy 263, 2 miles north of Yreka ",-122.611,Grade Fire,2016-08-24,United States,us,
472,650.0,False,2016,/incidents/2016/6/25/marina-fire/,Mono,26,2016-07-09,37.97,Hwy 395 & Mono Lake,-119.14,Marina Fire,2016-06-25,United States,us,93541
473,599.0,False,2016,/incidents/2016/8/22/tully-fire/,Humboldt,12,2016-09-04,41.284859999999995,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",-123.82268,Tully Fire,2016-08-22,United States,us,
474,554.0,False,2016,/incidents/2016/7/8/fort-fire/,Kern,15,2016-07-10,34.913000000000004,"off of I-5, east of Grapevine",118.9082,Fort Fire,2016-07-08,中国,cn,
475,550.0,False,2016,/incidents/2016/8/2/99-fire/,Butte,4,2016-08-03,39.6708,"Off of Highway 99 and Neal Road, south of Chico",-121.7192,99 Fire,2016-08-02,United States,us,
476,518.0,False,2016,/incidents/2016/8/26/range-fire/,Kern,15,2016-08-29,35.2013,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",-118.7212,Range Fire,2016-08-26,United States,us,
477,464.0,False,2016,/incidents/2016/6/30/colyear-fire/,Tehama,52,2016-07-04,40.0353,"Colyear Springs Road, 7 miles west of Red Bank",-122.56938999999998,Colyear Fire,2016-06-30,United States,us,
478,450.0,False,2016,/incidents/2016/8/28/willow-fire/,Calaveras,5,2016-08-31,38.1874,"Off Willow Creek Rd & Mountain Ranch Rd, east of San Andreas ",-120.6381,Willow Fire,2016-08-28,United States,us,95249
479,441.0,False,2016,/incidents/2016/7/8/fiddler-fire/,Shasta,45,2016-07-12,40.36873,"off Fiddlers Road, southwest of Igo",-122.72913,Fiddler Fire,2016-07-08,United States,us,
480,400.0,False,2016,/incidents/2016/8/18/beale-fire/,Yuba,58,2016-08-18,36.16965,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",-121.38775,Beale Fire,2016-08-18,United States,us,
481,395.0,False,2016,/incidents/2016/8/22/tule-fire/,Tulare,54,2016-11-08,36.1648,"off Hwy 190, 4 miles northeast of Springville",-118.73906000000001,Tule Fire,2016-08-22,United States,us,
482,380.0,False,2016,/incidents/2016/9/11/howard-fire/,Modoc,25,2016-09-14,41.4657,"in Howards Gulch, north of Canby ",-120.9066,Howard Fire,2016-09-11,United States,us,
483,372.0,False,2016,/incidents/2016/6/28/rancho-fire/,Amador,3,2016-06-29,38.385,"Hwy 104, west of Ione",-121.003611,Rancho Fire,2016-06-28,United States,us,95640
484,360.0,False,2016,/incidents/2016/9/13/hog-fire/,Tehama,52,2016-09-13,40.30594,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",-122.1295,Hog Fire,2016-09-13,United States,us,
485,341.0,False,2016,/incidents/2016/7/12/pacheco-fire/,Calaveras,5,2016-07-16,38.08056,"off Lanford Pacheco Rd, south of Valley Springs",-120.81393999999999,Pacheco Fire,2016-07-12,United States,us,
486,310.0,False,2016,/incidents/2016/7/2/appaloosa-fire/,Calaveras,5,2016-07-08,38.02845,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",-120.61153,Appaloosa Fire,2016-07-02,United States,us,95222
487,306.0,False,2016,/incidents/2016/9/19/flat-fire/,Kern,15,2016-09-21,0.0," off Granite Rd and Poso Flat Rd., 5 miles south of Woody",0.0,Flat Fire,2016-09-19,,,
488,304.0,False,2016,/incidents/2016/8/28/havilah-fire/,Kern,15,2016-08-28,35.4976,south of Lake Isabella,-118.5097,Havilah Fire,2016-08-28,United States,us,
489,300.0,False,2016,/incidents/2016/9/20/butte-fire/,Sutter,51,2016-09-20,39.188321,off Pass Road and Kellogg Road (Near Sutter Buttes West of Yuba City,-121.78003000000001,Butte Fire,2016-09-20,United States,us,
490,278.0,False,2016,/incidents/2016/5/25/dewolf-fire/,Fresno,10,2016-05-25,36.88286,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",-119.654,DeWolf Fire,2016-05-25,United States,us,93619
491,277.0,False,2016,/incidents/2016/6/26/creek-fire/,Yolo,57,2016-06-27,38.699709999999996,"off Hwy 16, 4 miles south of Brooks, near the Cache Creek Casino",-122.15456999999999,Creek Fire,2016-06-26,United States,us,
492,248.0,False,2016,/incidents/2016/9/26/tobin-fire/,Plumas,32,2016-10-06,39.92,north of Hwy 70 and west of Jackass Creek Road ,-121.32,Tobin Fire,2016-09-26,United States,us,
493,237.0,False,2016,/incidents/2016/6/17/king-fire/,San Benito,35,2016-06-20,0.0,"north of Hwy 198, east of Hwy 25",0.0,King Fire ,2016-06-17,,,
494,221.0,False,2016,/incidents/2016/7/13/onyx-fire/,Kern,15,2016-07-14,35.68313,"off Coyote Trail & Rocky Hill, East of Onyx",-118.21793000000001,Onyx Fire,2016-07-13,United States,us,93255
495,215.0,False,2016,/incidents/2016/9/22/washington-fire/,Santa Barbara,42,2016-09-27,34.75134,"off Washington Ave. and Airfield Rd, north of California Blvd ",-120.55297,Washington Fire,2016-09-22,United States,us,93437
496,215.0,False,2016,/incidents/2016/6/26/reservoir-fire/,Lake,17,2016-06-28,39.12366,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",-122.50373,Reservoir Fire,2016-06-26,United States,us,
497,211.0,False,2016,/incidents/2016/6/25/grant-fire/,Alameda,1,2016-06-26,37.74369,"In the Altamont Pass, 10 miles east of Livermore",-121.58677,Grant Fire,2016-06-25,United States,us,95391
498,210.0,False,2016,/incidents/2016/6/17/camanche-fire/,Amador,3,2016-06-21,38.26874,"off Camanche Parkway North & Coal Mine Road, south of Ione",-120.90265,Camanche Fire,2016-06-17,United States,us,
499,188.0,False,2016,/incidents/2016/7/11/big-fire/,Fresno,10,2016-07-13,36.92244,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",-119.39618999999999,Big Fire,2016-07-11,United States,us,93667
500,176.0,False,2016,/incidents/2016/10/14/emerald-fire/,El Dorado,9,2016-10-17,38.934490000000004,"off Highway 89, near Cascade Lake and Emerald Bay.",-120.10744,Emerald Fire,2016-10-14,United States,us,
501,173.0,False,2016,/incidents/2016/7/12/briggs-fire/,Riverside,33,2016-07-15,0.0,off Briggs Rd & Louis Rd in Romoland,0.0,Briggs Fire,2016-07-12,,,
502,169.0,False,2016,/incidents/2016/5/17/athens-fire/,Placer,31,2016-05-19,38.8390117,"Off Athens Ave & Industrial Blvd, south of Lincoln",-121.3090268,Athens Fire,2016-05-17,United States,us,95765
503,158.0,False,2016,/incidents/2016/9/3/sunny-fire/,Fresno,10,2016-09-06,36.84479,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,-119.34487,Sunny Fire,2016-09-03,United States,us,
504,156.0,False,2016,/incidents/2016/5/23/wheatland-fire/,Los Angeles,19,2016-05-25,34.275999999999996,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",-118.354,Wheatland Fire,2016-05-23,United States,us,91342
505,151.0,False,2016,/incidents/2016/4/28/hills-fire/,Fresno,10,2016-04-29,0.0,four miles Northwest of Panoche and Interstate 5 ,0.0,Hills Fire,2016-04-28,,,
506,150.0,False,2016,/incidents/2016/9/13/old-fire/,Del Norte,8,2016-09-17,37.75972,"off Old Yosemite Rd, 8 miles east of Greeley Hill",-120.02962600000001,Old Fire,2016-09-13,United States,us,
507,150.0,False,2016,/incidents/2016/8/31/holy-fire/,Orange,30,2016-09-05,33.6542,off Trabuco Creek Rd near Holy Jim Trail,-117.5221,Holy Fire,2016-08-31,United States,us,
508,150.0,False,2016,/incidents/2016/5/10/shedd-fire/,San Luis Obispo,40,2016-05-10,35.619609999999994,Wood Canyon Rd & Hwy 41,-120.39993,Shedd Fire,2016-05-10,United States,us,93461
509,147.0,False,2016,/incidents/2016/8/20/bird-fire/,San Joaquin,39,2016-08-20,37.62215,"off of Bird Rd & I-580, south of Tracy",-121.36665,Bird Fire,2016-08-20,United States,us,95377
510,145.0,False,2016,/incidents/2016/7/4/frame-fire/,Fresno,10,2016-07-07,36.14161,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",-120.62048,Frame Fire,2016-07-04,United States,us,
511,140.0,False,2016,/incidents/2016/8/4/maze-fire/,Stanislaus,50,2016-08-04,0.0,"off of Maze & Kasson, west of Modesto",0.0,Maze Fire,2016-08-04,,,
512,139.0,False,2016,/incidents/2016/6/4/temecula-fire/,Riverside,33,2016-06-07,33.476894,Off I-15 south of Temecula Parkway,-117.140883,Temecula Fire,2016-06-04,United States,us,92530-2703
513,138.0,False,2016,/incidents/2016/7/15/famoso-fire/,Kern,15,2016-07-16,35.607479999999995,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",-118.94811000000001,Famoso Fire,2016-07-15,United States,us,93308
514,132.0,False,2016,/incidents/2016/5/15/avocado-fire/,Fresno,10,2016-05-17,36.787690000000005,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",-119.38248,Avocado Fire,2016-05-15,United States,us,
515,130.0,False,2016,/incidents/2016/9/22/bangor-fire/,Butte,4,2016-09-23,39.4403,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",-121.42647,Bangor Fire,2016-09-22,United States,us,
516,123.0,False,2016,/incidents/2016/7/15/green-fire/,Fresno,10,2016-07-16,37.0099,"off Auberry Rd & White Thorne Rd, near Prather",-119.5792,Green Fire,2016-07-15,United States,us,
517,122.0,False,2016,/incidents/2016/8/5/rock-creek-fire/,Mono,26,2016-08-07,0.0,southeast of Mammoth Lakes and a mile north of the community of Swall Meadows.,0.0,Rock Creek Fire,2016-08-05,,,
518,120.0,False,2016,/incidents/2016/6/7/coe-fire/,Stanislaus,50,2016-06-09,37.17072,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",-121.42238,Coe Fire,2016-06-07,United States,us,
519,114.0,False,2016,/incidents/2016/7/30/sierra-fire/,Santa Clara,43,2016-07-31,37.41896,"Off Sierra Rd & Calaveras Rd, Spring Valley",-121.79668999999998,Sierra Fire,2016-07-30,United States,us,
520,112.0,False,2016,/incidents/2016/6/20/coal-fire/,Butte,4,2016-06-20,39.595,"Off Coal Canyon Rd & Hwy 70, north of Oroville",-121.6008,Coal Fire,2016-06-20,United States,us,
521,103.0,False,2016,/incidents/2016/7/4/broken-fire/,Madera,20,2016-07-06,37.256009999999996,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",-119.65776000000001,Broken Fire,2016-07-04,United States,us,93614-9453
522,100.0,False,2016,/incidents/2016/9/25/cow-fire/,Shasta,45,2016-09-25,40.0,off Whitmore Road and Old Cow Creek Road,-121.93923000000001,Cow Fire,2016-09-25,United States,us,
523,100.0,False,2016,/incidents/2016/8/17/bailey-fire/,Santa Clara,43,2016-08-18,0.0,"Hwy 101 & Bailey Rd, South San Jose",0.0,Bailey Fire,2016-08-17,,,
524,100.0,False,2016,/incidents/2016/8/4/hart-fire/,Kern,15,2016-08-07,35.24504,"off Hwy 58 and Hart Flat Rd, Tehachapi ",-118.60343999999999,Hart Fire,2016-08-04,United States,us,93531
525,100.0,False,2016,/incidents/2016/8/3/diablo-fire/,Stanislaus,50,2016-08-04,0.0,"Off Diablo Grande Parkway and Morton Davis Circle, 9 miles SW of Patterson ",0.0,Diablo Fire,2016-08-03,,,
526,100.0,False,2016,/incidents/2016/7/22/bradley-fire/,Monterey,27,2016-07-23,35.85093,"off Highway 101 and San Antonio River, south of Bradley ",-120.81081,Bradley Fire,2016-07-22,United States,us,
527,100.0,False,2016,/incidents/2016/7/18/feather-fire/,San Diego,37,2016-07-20,32.9612,"off of El Capitan Truck Trail, south of Ramona ",-116.7945,Feather Fire,2016-07-18,United States,us,
528,95.0,False,2016,/incidents/2016/7/9/mercury-fire/,San Benito,35,2016-07-10,5487.0,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",-120.841536,Mercury Fire,2016-07-09,,,
529,91.0,False,2016,/incidents/2016/5/27/dunstone-fire/,Butte,4,2016-05-27,39.33035,"La Porte Road at Dunstone Road, west of Bangor ",-121.78973,Dunstone Fire,2016-05-27,United States,us,95982
530,88.0,False,2016,/incidents/2016/8/26/santos-fire/,Butte,4,2016-08-30,39.79547,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",-121.71661999999999,Santos Fire,2016-08-26,United States,us,
531,88.0,False,2016,/incidents/2016/7/1/flores-fire/,Tehama,52,2016-07-01,40.07846,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",-122.2071,Flores Fire,2016-07-01,United States,us,
532,88.0,False,2016,/incidents/2016/6/21/moore-fire/,Placer,31,2016-06-21,38.86804,"off Moore Rd and South Dowd Rd, west of Lincoln",-121.37704,Moore Fire,2016-06-21,United States,us,95648
533,87.0,False,2016,/incidents/2016/7/10/scott-fire/,Sacramento,34,2016-07-11,38.517771999999994,"off of Scotts Road and Latrobe Road, Rancho Murrieta",-121.103642,Scott Fire,2016-07-10,United States,us,95683
534,86.0,False,2016,/incidents/2016/6/27/frazier-fire/,San Luis Obispo,40,2016-06-29,35.70821,off Nacimiento Lake Dr. and Frazier Rd.,-120.82266000000001,Frazier Fire,2016-06-27,United States,us,93446
535,85.0,False,2016,/incidents/2016/8/4/grub-fire/,Madera,20,2016-08-06,37.3228,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",-119.7738,Grub Fire,2016-08-04,United States,us,93601
536,85.0,False,2016,/incidents/2016/5/30/tulloch-fire/,Tuolumne,55,2016-06-01,37.927613,"off New Peoria Flat Road and Old Melones Road, west of Sonora",-120.52883600000001,Tulloch Fire,2016-05-30,United States,us,
537,84.0,False,2016,/incidents/2016/7/15/dunnigan-fire/,Yolo,57,2016-07-15,38.8866,"off County Road 86 & County Road 6, west of Dunnigan",-122.04726000000001,Dunnigan Fire,2016-07-15,United States,us,
538,83.0,False,2016,/incidents/2016/6/15/cheyenne-fire/,Calaveras,5,2016-06-16,0.0,"off Cheyenne Way, south of Camanche Reservoir ",0.0,Cheyenne Fire,2016-06-15,,,
539,83.0,False,2016,/incidents/2016/6/12/old-fire/,San Benito,35,2016-06-12,36.499140000000004,"off Old Hernandez Road, five miles east of Pinnacles National Park",-121.04993,Old Fire,2016-06-12,United States,us,95043
540,80.0,False,2016,/incidents/2016/8/3/baker-fire/,Tehama,52,2016-08-04,40.19611,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",-122.26736000000001,Baker Fire,2016-08-03,United States,us,96080
541,80.0,False,2016,/incidents/2016/7/21/serpa-fire/,Madera,20,2016-07-25,0.0,off Hwy 41 northeast of Coarsegold,0.0,Serpa Fire,2016-07-21,,,
542,80.0,False,2016,/incidents/2016/6/11/hoag-fire/,Tehama,52,2016-06-11,39.7947,"off Corning Road and Gaylord Avenue, east of Corning",-121.85700000000001,Hoag Fire,2016-06-11,United States,us,95973-9401
543,78.0,False,2016,/incidents/2016/7/13/sherwood-fire/,Ventura,56,2016-07-15,36.92244,"near Lake Sherwood, southwest of Thousand Oaks",-119.39618999999999,Sherwood Fire,2016-07-13,United States,us,93667
544,75.0,False,2016,/incidents/2016/9/10/lake-fire/,Shasta,45,2016-09-12,40.68192,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",-122.4096,Lake Fire,2016-09-10,United States,us,96019
545,70.0,False,2016,/incidents/2016/9/23/newmark-fire/,Fresno,10,2016-09-24,36.6543,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",-119.5327,Newmark Fire,2016-09-23,United States,us,93657-4001
546,70.0,False,2016,/incidents/2016/6/18/arroyo-fire/,Monterey,27,2016-06-20,36.2833,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",-121.3306,Arroyo Fire,2016-06-18,United States,us,
547,70.0,False,2016,/incidents/2016/5/31/pala-fire/,San Diego,37,2016-06-07,33.41639,"in the 38000 block of Pala Temecula Road, Temecula",-117.08828999999999,Pala Fire,2016-05-31,United States,us,92028
548,69.0,False,2016,/incidents/2016/7/19/foothill-fire/,Lake,17,2016-07-22,39.0863,"off Foothill Drive, community of Lucerne",-122.7891,Foothill Fire,2016-07-19,United States,us,95458
549,65.0,False,2016,/incidents/2016/10/10/creek-fire/,Napa,28,2016-10-12,38.40958,Dry Creek Road 3 miles west of Yountville,-122.43172,Creek Fire,2016-10-10,United States,us,94562
550,61.0,False,2016,/incidents/2016/6/11/cotton-fire/,Kern,15,2016-06-12,35.77135,"off Highway 41, one mile east of the county line",-120.251,Cotton Fire,2016-06-11,United States,us,
551,57.0,False,2016,/incidents/2016/7/22/oak-fire/,Solano,48,2016-07-22,38.33475,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",-122.02564,Oak Fire,2016-07-22,United States,us,95696
552,57.0,False,2016,/incidents/2016/7/21/baker-fire/,Calaveras,5,2016-07-22,37.98171,off Baker St & School St near Copperopolis ,-120.64241000000001,Baker Fire,2016-07-21,United States,us,95228
553,56.0,False,2016,/incidents/2016/5/19/mill-fire/,Siskiyou,47,2016-05-21,0.0,"Old Dump Road/T-3 Road, 2 miles east of Weed",0.0,Mill Fire,2016-05-19,,,
554,52.0,False,2016,/incidents/2016/6/23/lowe-fire/,Monterey,27,2016-06-24,36.1934,East of King City,-120.9293,Lowe Fire,2016-06-23,United States,us,
555,50.0,False,2016,/incidents/2016/9/10/ruff-fire/,Mendocino,23,2016-09-15,39.7299,"off of Hwy 101 and Woodruff Rd, north of Laytonville",-123.5044,Ruff Fire ,2016-09-10,United States,us,95454
556,50.0,False,2016,/incidents/2016/9/7/spring-fire/,San Bernardino,36,2016-09-09,34.3183,"off of Hwy 138 & Los Flores Rd, south of Hesperia",-117.3189,Spring Fire,2016-09-07,United States,us,
557,50.0,False,2016,/incidents/2016/7/22/storksbill-fire/,El Dorado,9,2016-07-23,38.79549,off Storksbill Rd in Pilot Hill ,-121.00299,Storksbill Fire,2016-07-22,United States,us,95664
558,50.0,False,2016,/incidents/2016/4/28/casitas-fire/,Ventura,56,2016-04-30,0.0,"near Casitas Vista and Ventura Avenue, south of Casitas Springs  ",0.0,Casitas Fire,2016-04-28,,,
559,49.0,False,2016,/incidents/2016/6/21/70-fire/,Butte,4,2016-06-21,39.43351,off Highway 70 at Palermo Rd.,-121.6051,70 Fire,2016-06-21,United States,us,
560,47.0,False,2016,/incidents/2016/9/17/auburn-fire/,Nevada,29,2016-09-20,39.20427,"Off South Auburn Street and Whiting Street, Grass Valley",-121.05948000000001,Auburn Fire,2016-09-17,United States,us,95945
561,47.0,False,2016,/incidents/2016/6/26/laguna-fire/,Orange,30,2016-06-29,33.578720000000004,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",-117.77395,Laguna Fire,2016-06-26,United States,us,
562,45.0,False,2016,/incidents/2016/9/23/bell-fire/,Amador,3,2016-09-25,38.5212,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",-120.8416,Bell Fire,2016-09-23,United States,us,
563,45.0,False,2016,/incidents/2016/8/9/kugelman-fire/,Lake,17,2016-08-10,36.099740000000004,"off of Kugelman St and Hwy 53, community of Lower Lake",-120.51057,Kugelman Fire,2016-08-09,United States,us,
564,45.0,False,2016,/incidents/2016/7/1/kuehner-fire/,Ventura,56,2016-07-01,34.27619,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",-118.63264,Kuehner Fire,2016-07-01,United States,us,91311-4127
565,43.0,False,2016,/incidents/2016/6/21/paskenta-fire/,Tehama,52,2016-06-21,39.93965,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",-122.40142,Paskenta Fire,2016-06-21,United States,us,96029
566,43.0,False,2016,/incidents/2016/5/30/walker-fire/,Kern,15,2016-06-04,0.0,"Jacobs Road, community of Caliente",0.0,Walker Fire,2016-05-30,,,
567,42.0,False,2016,/incidents/2016/7/30/dockery-fire/,Lassen,18,2016-08-01,0.0,"off Hwy 36E & County Rd A1, west of Susanville ",0.0,Dockery Fire,2016-07-30,,,
568,40.0,False,2016,/incidents/2016/9/11/boys-fire/,Sacramento,34,2016-09-12,38.558,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",-121.1309,Boys Fire,2016-09-11,United States,us,
569,40.0,False,2016,/incidents/2016/8/28/evergreen-fire/,Riverside,33,2016-08-29,0.0,off Evergreen Street in Lakeland Village near Lake Elsinore ,0.0,Evergreen Fire,2016-08-28,,,
570,40.0,False,2016,/incidents/2016/7/24/franklin-fire/,Contra Costa,7,2016-07-24,38.012640000000005,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",-122.1885,Franklin Fire,2016-07-24,United States,us,94569
571,38.0,False,2016,/incidents/2016/9/7/phoenix-fire/,Nevada,29,1969-12-31,39.39051,west of Fordyce Lake near Soda Springs ,-120.51886999999999,Phoenix Fire,2016-09-07,United States,us,
